"species","year","predicted_mean_abundance","lower_95percent_CL","upper_95percent_CL"
"Black-bellied Plover",1986,24.3957,16.87178,37.209955
"Black-bellied Plover",1987,38.4104,27.124935,57.9548375
"Black-bellied Plover",1988,26.8539,18.5851,40.858735
"Black-bellied Plover",1989,27.8234,20.0138375,41.7809875
"Black-bellied Plover",1990,29.61415,20.94066,45.71401
"Black-bellied Plover",1991,20.84015,14.244995,31.8889075
"Black-bellied Plover",1992,20.7273,14.3920825,30.89079
"Black-bellied Plover",1993,34.3582,24.1622225,52.7976325
"Black-bellied Plover",1994,32.8857,23.671345,50.3124225
"Black-bellied Plover",1995,22.8187,16.0316925,34.7096975
"Black-bellied Plover",1996,19.448,13.47819,30.0296925
"Black-bellied Plover",1997,29.7175,21.08415,45.583645
"Black-bellied Plover",1998,40.8972,29.596575,62.6603375
"Black-bellied Plover",1999,20.6346,14.6991875,31.1627
"Black-bellied Plover",2000,24.3684,17.480685,37.3784375
"Black-bellied Plover",2001,36.00485,25.7295675,54.2084075
"Black-bellied Plover",2002,26.7745,18.9940675,41.4226375
"Black-bellied Plover",2003,25.57795,18.069585,39.5844975
"Black-bellied Plover",2004,21.3916,15.199465,33.413195
"Black-bellied Plover",2005,25.0238,17.75347,38.5465225
"Black-bellied Plover",2006,14.93425,10.482055,23.1678925
"Black-bellied Plover",2007,19.9116,14.1587375,29.834325
"Black-bellied Plover",2008,18.23235,12.7821925,28.700045
"Black-bellied Plover",2009,17.49085,12.1030275,26.9403225
"Black-bellied Plover",2010,22.3063,15.5368775,33.86656
"Black-bellied Plover",2011,23.84195,16.5835875,37.071215
"Black-bellied Plover",2012,18.518,12.6178125,29.428675
"Black-bellied Plover",2013,13.61195,9.3541685,21.4185675
"Black-bellied Plover",2014,12.43575,8.35823625,19.8042875
"Black-bellied Plover",2015,16.91845,11.3994175,26.922485
"Black-bellied Plover",2016,13.0886,8.83064775,21.4689325
"Black-bellied Plover",2017,12.41605,8.27648775,20.353195
"Black-bellied Plover",2018,15.78955,9.99066225,26.4402725
"Black-bellied Plover",2019,13.49,8.4786995,22.350735
"American Golden-Plover",1980,0.119885,0.07098315,0.209942675
"American Golden-Plover",1981,0.145954,0.088378975,0.2571341
"American Golden-Plover",1982,0.210291,0.130429625,0.368265375
"American Golden-Plover",1983,0.1710445,0.101923575,0.3097298
"American Golden-Plover",1984,0.292608,0.1820895,0.509901975
"American Golden-Plover",1985,0.1945545,0.120712725,0.333922675
"American Golden-Plover",1986,0.124467,0.074454115,0.217055375
"American Golden-Plover",1987,0.1095735,0.064890375,0.19189335
"American Golden-Plover",1988,0.140814,0.08661222,0.247920075
"American Golden-Plover",1989,0.1111715,0.068225465,0.1937804
"American Golden-Plover",1990,0.1522085,0.092967175,0.263651425
"American Golden-Plover",1991,0.145895,0.087536915,0.258102225
"American Golden-Plover",1992,0.07247685,0.0429899475,0.131128175
"American Golden-Plover",1993,0.1663195,0.104877025,0.28762305
"American Golden-Plover",1994,0.169908,0.10713535,0.294241825
"American Golden-Plover",1995,0.12836,0.0774660425,0.2255708
"American Golden-Plover",1996,0.127476,0.0790560875,0.222917525
"American Golden-Plover",1997,0.1110925,0.07237761,0.1865932
"American Golden-Plover",1998,0.1564315,0.100412875,0.265157925
"American Golden-Plover",1999,0.07556795,0.047747635,0.128480225
"American Golden-Plover",2000,0.12496,0.080600825,0.209988175
"American Golden-Plover",2001,0.175435,0.1160535,0.29296965
"American Golden-Plover",2002,0.0711942,0.04309072,0.1232695
"American Golden-Plover",2003,0.0980948,0.0606444875,0.168373575
"American Golden-Plover",2004,0.06046535,0.0366436075,0.1046161
"American Golden-Plover",2005,0.0860732,0.05003987,0.154872075
"American Golden-Plover",2006,0.05255975,0.0306662625,0.094531855
"American Golden-Plover",2007,0.109342,0.06556513,0.195313175
"American Golden-Plover",2008,0.07469435,0.046675485,0.1328155
"American Golden-Plover",2009,0.0566047,0.0328212975,0.0998732325
"American Golden-Plover",2010,0.06882235,0.0408812175,0.121652225
"American Golden-Plover",2011,0.0901784,0.05392439,0.15706605
"American Golden-Plover",2012,0.0594924,0.03409016,0.1104626
"American Golden-Plover",2013,0.0517253,0.0296224875,0.09732255
"American Golden-Plover",2014,0.0400271,0.0228168175,0.075547125
"American Golden-Plover",2015,0.04753085,0.026759165,0.088630685
"American Golden-Plover",2016,0.0504628,0.02781333,0.0950520525
"American Golden-Plover",2017,0.0459717,0.02501139,0.0885456725
"American Golden-Plover",2018,0.0258398,0.0125135575,0.0558631725
"American Golden-Plover",2019,0.03763625,0.01823559,0.0790610550000001
"Semipalmated Plover",1980,21.87645,15.86589,32.12182
"Semipalmated Plover",1981,21.751,15.8430775,31.48764
"Semipalmated Plover",1982,27.79555,20.3103475,39.631865
"Semipalmated Plover",1983,21.5564,16.0180425,31.1520575
"Semipalmated Plover",1984,28.2875,20.1286175,39.132505
"Semipalmated Plover",1985,24.95115,18.34014,35.3344
"Semipalmated Plover",1986,18.68465,13.5450425,26.169715
"Semipalmated Plover",1987,19.309,14.4670275,27.3631525
"Semipalmated Plover",1988,18.39015,13.6755425,26.356475
"Semipalmated Plover",1989,19.58275,14.35742,27.66025
"Semipalmated Plover",1990,19.5128,14.3295875,27.614425
"Semipalmated Plover",1991,19.22895,14.10383,26.627095
"Semipalmated Plover",1992,18.8081,14.121025,26.8283075
"Semipalmated Plover",1993,22.97005,16.3029675,32.144215
"Semipalmated Plover",1994,23.019,16.807655,32.00389
"Semipalmated Plover",1995,21.57295,16.03527,30.9380775
"Semipalmated Plover",1996,18.83845,14.05008,26.56783
"Semipalmated Plover",1997,23.5566,17.08818,32.4936525
"Semipalmated Plover",1998,19.41505,14.003715,26.7471475
"Semipalmated Plover",1999,15.04175,11.1695075,21.184605
"Semipalmated Plover",2000,22.49755,16.3968575,31.0265125
"Semipalmated Plover",2001,22.1731,16.3364825,30.4281225
"Semipalmated Plover",2002,17.8627,13.43593,24.98815
"Semipalmated Plover",2003,22.1339,16.6588925,30.5216
"Semipalmated Plover",2004,19.16675,14.2979275,26.1789075
"Semipalmated Plover",2005,21.5349,16.3866625,30.2297875
"Semipalmated Plover",2006,16.9047,12.22163,23.12764
"Semipalmated Plover",2007,16.40395,12.32011,22.7188125
"Semipalmated Plover",2008,17.97195,13.4269775,24.5963775
"Semipalmated Plover",2009,15.9325,11.6778825,22.367855
"Semipalmated Plover",2010,21.47355,16.09696,30.2070675
"Semipalmated Plover",2011,19.0743,14.0649975,27.13153
"Semipalmated Plover",2012,19.9399,14.2212525,28.46898
"Semipalmated Plover",2013,21.48465,15.71713,30.10498
"Semipalmated Plover",2014,14.28255,10.34932,20.812905
"Semipalmated Plover",2015,15.4261,11.0009475,22.0635725
"Semipalmated Plover",2016,14.00665,9.7788225,20.7870175
"Semipalmated Plover",2017,12.89335,8.81541125,19.35932
"Semipalmated Plover",2018,11.68405,7.800695,17.479655
"Semipalmated Plover",2019,18.5495,12.4682625,28.6802075
"Piping Plover",1980,1.60143,0.7720618,4.01451
"Piping Plover",1981,1.41514,0.697356475,3.5933785
"Piping Plover",1982,0.613826,0.2882668,1.49663225
"Piping Plover",1983,1.38765,0.665804075,3.50315875
"Piping Plover",1984,0.848783,0.384426025,2.0773555
"Piping Plover",1985,0.5126995,0.2446033,1.252803
"Piping Plover",1986,0.900831,0.4365122,2.196826
"Piping Plover",1987,1.275615,0.61226815,3.07775075
"Piping Plover",1988,1.637645,0.77475815,3.9550925
"Piping Plover",1989,1.1559,0.5777647,2.9270805
"Piping Plover",1990,0.3777795,0.183771775,0.94759765
"Piping Plover",1991,1.0833,0.49336845,2.85650025
"Piping Plover",1992,1.31163,0.668500125,3.18221375
"Piping Plover",1993,1.706235,0.8810056,4.13703025
"Piping Plover",1994,0.8465105,0.40175785,2.06329775
"Piping Plover",1995,1.26356,0.63696765,3.089221
"Piping Plover",1996,0.910749,0.42842895,2.283766
"Piping Plover",1997,1.844875,0.9104309,4.54416775
"Piping Plover",1998,1.22253,0.605235,2.982449
"Piping Plover",1999,1.331555,0.6656178,3.219797
"Piping Plover",2000,0.9214525,0.468185275,2.1648575
"Piping Plover",2001,1.437365,0.70056775,3.43534
"Piping Plover",2002,1.56459,0.799874775,3.76577775
"Piping Plover",2003,0.99183,0.49761595,2.40846975
"Piping Plover",2004,1.460105,0.731714425,3.54236375
"Piping Plover",2005,1.40847,0.71852175,3.425103
"Piping Plover",2006,1.05933,0.491185125,2.7631895
"Piping Plover",2007,0.8618365,0.40748975,2.20634
"Piping Plover",2008,0.713302,0.3650543,1.78761475
"Piping Plover",2009,0.6514795,0.30186255,1.666539
"Piping Plover",2010,0.5961075,0.27968745,1.5020505
"Piping Plover",2011,0.593201,0.260031175,1.53799325
"Piping Plover",2012,0.599343,0.27900265,1.57824675
"Piping Plover",2013,0.5122285,0.233680425,1.361628
"Piping Plover",2014,0.389756,0.183978875,1.00337225
"Piping Plover",2015,0.5186515,0.242390225,1.32117
"Piping Plover",2016,0.5909045,0.272661675,1.630565
"Piping Plover",2017,0.544202,0.239187925,1.36412975
"Piping Plover",2018,0.623103,0.280026875,1.70526775
"Piping Plover",2019,0.834203,0.3652623,2.26480475
"Killdeer",1980,36.6167,18.1901175,82.846775
"Killdeer",1981,17.9085,8.9489705,38.7678975
"Killdeer",1982,43.98585,22.5478575,96.4211175
"Killdeer",1983,33.30665,17.212265,74.629705
"Killdeer",1984,45.91005,23.813225,100.43115
"Killdeer",1985,36.14115,19.18774,80.972285
"Killdeer",1986,28.5177,15.348025,61.9554825
"Killdeer",1987,47.95615,25.41119,104.77205
"Killdeer",1988,39.1394,21.04429,86.3601350000001
"Killdeer",1989,34.9582,18.649895,77.1021525
"Killdeer",1990,34.24335,18.4065525,73.5506625
"Killdeer",1991,28.45125,15.4546575,64.8029975
"Killdeer",1992,28.1228,15.6682525,61.330065
"Killdeer",1993,30.5504,16.7588775,67.39869
"Killdeer",1994,31.44935,17.099825,67.5256425
"Killdeer",1995,44.89855,24.5527975,96.9556575
"Killdeer",1996,26.13625,14.2087975,59.0365975
"Killdeer",1997,27.37875,14.621965,59.01144
"Killdeer",1998,33.56145,18.118365,75.144155
"Killdeer",1999,59.0158,31.946855,127.507625
"Killdeer",2000,24.05015,13.149485,52.7890575
"Killdeer",2001,40.25835,21.9436575,86.04585
"Killdeer",2002,27.62185,15.198595,59.857085
"Killdeer",2003,38.13175,21.04946,80.77707
"Killdeer",2004,18.42095,10.2994975,41.034345
"Killdeer",2005,34.39365,18.7515775,72.1079975
"Killdeer",2006,21.24605,11.3719025,46.44821
"Killdeer",2007,51.0266,28.075095,111.826225
"Killdeer",2008,31.9423,17.5371725,70.6567575
"Killdeer",2009,26.12595,14.02375,55.02016
"Killdeer",2010,19.02065,10.5143525,40.59421
"Killdeer",2011,13.4808,7.22373425,29.320815
"Killdeer",2012,25.1175,13.13909,56.3926275
"Killdeer",2013,16.99675,9.03356275,36.946395
"Killdeer",2014,11.7731,6.15399675,26.971855
"Killdeer",2015,30.9998,15.8010325,70.11604
"Killdeer",2016,19.52055,9.69913725000001,43.7843775
"Killdeer",2017,14.96485,7.456231,33.5169075
"Killdeer",2018,19.7241,9.43709875,45.570445
"Killdeer",2019,13.0714,6.39378825,30.0979875
"Whimbrel",1980,0.550911,0.2724392,1.2600945
"Whimbrel",1981,0.6928585,0.337507125,1.6011005
"Whimbrel",1982,1.51577,0.74627415,3.442024
"Whimbrel",1983,1.282055,0.650511225,3.09241775
"Whimbrel",1984,1.121045,0.527994475,2.59539375
"Whimbrel",1985,0.864486,0.4342701,2.0211395
"Whimbrel",1986,1.06488,0.5307183,2.40277125
"Whimbrel",1987,1.253665,0.628282375,2.814879
"Whimbrel",1988,1.15291,0.571996875,2.586063
"Whimbrel",1989,0.649232,0.321448725,1.4295995
"Whimbrel",1990,0.4618155,0.224913825,1.086822
"Whimbrel",1991,0.528487,0.247747025,1.25600525
"Whimbrel",1992,0.4335535,0.226909825,0.99031965
"Whimbrel",1993,0.7533405,0.394935925,1.677946
"Whimbrel",1994,0.5999925,0.29108985,1.3735045
"Whimbrel",1995,0.510211,0.25631255,1.1266055
"Whimbrel",1996,0.64516,0.30953035,1.4748315
"Whimbrel",1997,0.361564,0.180439075,0.870247675
"Whimbrel",1998,0.5282845,0.266507775,1.218829
"Whimbrel",1999,0.773859,0.389795,1.74604825
"Whimbrel",2000,0.5364855,0.27526465,1.19186175
"Whimbrel",2001,0.6696605,0.350266875,1.49188
"Whimbrel",2002,0.6927535,0.337469325,1.57639625
"Whimbrel",2003,0.580451,0.285086375,1.31446
"Whimbrel",2004,1.320715,0.688187825,2.9927725
"Whimbrel",2005,0.7047305,0.3508293,1.5943175
"Whimbrel",2006,0.561675,0.271289975,1.328702
"Whimbrel",2007,1.175905,0.5661244,2.633962
"Whimbrel",2008,0.5999125,0.3020285,1.36820775
"Whimbrel",2009,0.432239,0.216194225,1.00007395
"Whimbrel",2010,0.3360025,0.1621226,0.789462725
"Whimbrel",2011,0.06826115,0.0266689725,0.1652368
"Whimbrel",2012,0.4208415,0.181049075,1.02843525
"Whimbrel",2013,0.214313,0.09769869,0.5094849
"Whimbrel",2014,0.108301,0.0505481125,0.25506085
"Whimbrel",2015,0.188877,0.08735053,0.43868675
"Whimbrel",2016,0.172003,0.0788983125,0.40850555
"Whimbrel",2017,0.1511385,0.0667366825,0.3673565
"Whimbrel",2018,0.2769475,0.121272,0.686603200000001
"Whimbrel",2019,0.2353345,0.091722685,0.607379050000001
"Hudsonian Godwit",1980,4.69832,1.737202,18.5954225
"Hudsonian Godwit",1981,4.64018,1.75161975,19.0403475000001
"Hudsonian Godwit",1982,3.31803,1.2655305,13.5797075
"Hudsonian Godwit",1983,2.59583,0.987671075,10.30406
"Hudsonian Godwit",1984,4.036,1.545698,15.29459
"Hudsonian Godwit",1985,3.334215,1.29425625,12.453045
"Hudsonian Godwit",1986,4.70165,1.80020875,17.9717875
"Hudsonian Godwit",1987,3.312365,1.2608695,12.9636625
"Hudsonian Godwit",1988,6.7449,2.503313,26.648605
"Hudsonian Godwit",1989,9.539475,3.71803975,36.7936475
"Hudsonian Godwit",1990,2.332715,0.903713725,8.85964725
"Hudsonian Godwit",1991,2.17244,0.761931375,8.32429875000001
"Hudsonian Godwit",1992,4.01703,1.64999,14.183195
"Hudsonian Godwit",1993,2.531605,0.9705469,9.902247
"Hudsonian Godwit",1994,2.105385,0.838245825,8.1232755
"Hudsonian Godwit",1995,1.973195,0.777946475,7.6815645
"Hudsonian Godwit",1996,1.891915,0.7547666,7.4100835
"Hudsonian Godwit",1997,1.607015,0.6288475,6.23969975
"Hudsonian Godwit",1998,1.433595,0.5679695,5.313346
"Hudsonian Godwit",1999,1.462215,0.574801525,5.43316875
"Hudsonian Godwit",2000,1.41943,0.56778075,5.2329175
"Hudsonian Godwit",2001,1.560485,0.631876525,6.1563025
"Hudsonian Godwit",2002,2.61245,1.03906675,10.18687
"Hudsonian Godwit",2003,1.59721,0.6567079,6.05011375000001
"Hudsonian Godwit",2004,2.096155,0.876481475,7.902088
"Hudsonian Godwit",2005,0.93842,0.357456325,3.6260575
"Hudsonian Godwit",2006,0.692425,0.25687165,2.707721
"Hudsonian Godwit",2007,0.9027015,0.3625693,3.588096
"Hudsonian Godwit",2008,1.087105,0.4122152,3.98592175000001
"Hudsonian Godwit",2009,1.041945,0.41266025,4.0438245
"Hudsonian Godwit",2010,0.6332045,0.249024825,2.46351875
"Hudsonian Godwit",2011,1.641005,0.629908475,6.61189725
"Hudsonian Godwit",2012,0.2243485,0.080568815,0.979181675
"Hudsonian Godwit",2013,0.546713,0.2015766,2.16902175
"Hudsonian Godwit",2014,0.601135,0.221236725,2.449991
"Hudsonian Godwit",2015,0.338374,0.116856525,1.4179575
"Hudsonian Godwit",2016,0.275122,0.0927023725,1.1677325
"Hudsonian Godwit",2017,0.1520085,0.0543199825,0.610251725
"Hudsonian Godwit",2018,0.2126805,0.0674252975,0.951490875000001
"Hudsonian Godwit",2019,0.136767,0.0404085625,0.620291675
"Marbled Godwit",1980,1.73934,0.468338375,10.77281
"Marbled Godwit",1981,2.151675,0.6089583,13.09764
"Marbled Godwit",1982,1.83113,0.529774675,10.563565
"Marbled Godwit",1983,1.992385,0.572084675,12.3691075
"Marbled Godwit",1984,2.523635,0.75734695,15.30299
"Marbled Godwit",1985,2.31747,0.66927015,13.7281725
"Marbled Godwit",1986,1.484515,0.45909235,8.82329225000002
"Marbled Godwit",1987,6.59174,2.08250775,40.65143
"Marbled Godwit",1988,2.290555,0.650886025,13.123055
"Marbled Godwit",1989,1.223855,0.322740325,7.82233725
"Marbled Godwit",1990,1.13468,0.333650725,7.06873
"Marbled Godwit",1991,2.144655,0.5981573,12.5313175
"Marbled Godwit",1992,1.873845,0.60715715,11.5896475
"Marbled Godwit",1993,2.975005,0.9254094,17.437215
"Marbled Godwit",1994,4.397085,1.388364,25.1787325000001
"Marbled Godwit",1995,2.308655,0.6489741,14.4730975
"Marbled Godwit",1996,3.105195,0.969157625,19.115175
"Marbled Godwit",1997,1.70624,0.515821225,10.7039
"Marbled Godwit",1998,2.841805,0.862540525,16.5653125
"Marbled Godwit",1999,4.250625,1.27318675,27.37049
"Marbled Godwit",2000,1.887095,0.584652425,11.072645
"Marbled Godwit",2001,2.992795,0.923459425,18.5265275
"Marbled Godwit",2002,2.50235,0.7674263,14.210335
"Marbled Godwit",2003,2.47491,0.78552425,15.138785
"Marbled Godwit",2004,2.05487,0.610878675,12.1725275
"Marbled Godwit",2005,4.32621,1.3045825,24.8503850000001
"Marbled Godwit",2006,3.274845,0.802648100000001,21.432865
"Marbled Godwit",2007,4.996395,1.4086275,29.2466525
"Marbled Godwit",2008,3.89364,1.0869415,23.045665
"Marbled Godwit",2009,4.83248,1.32246475,28.5855575
"Marbled Godwit",2010,3.89776,1.129106,22.08802
"Marbled Godwit",2011,2.884125,0.713784825000001,17.6305
"Marbled Godwit",2012,2.74326,0.602896625,17.2176825
"Marbled Godwit",2013,3.372325,0.937970775,19.1943575
"Marbled Godwit",2014,3.09479,0.7885095,19.7534375
"Marbled Godwit",2015,1.648635,0.440035675,10.4192775
"Marbled Godwit",2016,1.684855,0.44461495,10.622685
"Marbled Godwit",2017,1.1431,0.2532954,7.72409725
"Marbled Godwit",2018,1.213355,0.26970615,8.01715425
"Marbled Godwit",2019,2.55095,0.5872759,16.0047825
"Ruddy Turnstone",1980,7.517235,4.394173,14.1089775
"Ruddy Turnstone",1981,8.079415,4.79809925,15.089405
"Ruddy Turnstone",1982,6.34034,3.78326575,11.8524225
"Ruddy Turnstone",1983,9.250135,5.4430775,17.4088975
"Ruddy Turnstone",1984,10.95045,6.51916375,20.26854
"Ruddy Turnstone",1985,8.304705,5.0133435,15.1407525
"Ruddy Turnstone",1986,6.126845,3.76950175,11.266235
"Ruddy Turnstone",1987,9.305885,5.7284755,17.1052625
"Ruddy Turnstone",1988,6.80115,4.15901675,12.6175625
"Ruddy Turnstone",1989,5.22663,3.2482,9.84338525
"Ruddy Turnstone",1990,4.38561,2.66834025,8.00936425
"Ruddy Turnstone",1991,4.755915,2.817522,8.75908775
"Ruddy Turnstone",1992,4.403585,2.71315775,8.20582775
"Ruddy Turnstone",1993,7.009495,4.33515325,12.7320275
"Ruddy Turnstone",1994,5.907045,3.653876,10.710945
"Ruddy Turnstone",1995,3.57857,2.2298135,6.4556735
"Ruddy Turnstone",1996,4.2971,2.69275975,7.83830825
"Ruddy Turnstone",1997,3.01121,1.875078,5.503729
"Ruddy Turnstone",1998,5.836735,3.62994525,10.568035
"Ruddy Turnstone",1999,2.722485,1.7173285,5.017517
"Ruddy Turnstone",2000,3.85179,2.396267,6.98653675
"Ruddy Turnstone",2001,4.46687,2.74631125,8.09639025
"Ruddy Turnstone",2002,2.948995,1.84405225,5.452552
"Ruddy Turnstone",2003,3.614035,2.2139695,6.65532475
"Ruddy Turnstone",2004,2.88381,1.77971825,5.21610175
"Ruddy Turnstone",2005,2.278745,1.42830975,4.1779635
"Ruddy Turnstone",2006,1.992245,1.21647125,3.63002925
"Ruddy Turnstone",2007,2.43614,1.49633825,4.498405
"Ruddy Turnstone",2008,2.562005,1.569029,4.633914
"Ruddy Turnstone",2009,2.476835,1.53916625,4.58964175
"Ruddy Turnstone",2010,2.5921,1.6144285,4.85888125
"Ruddy Turnstone",2011,3.854145,2.3512895,7.1393915
"Ruddy Turnstone",2012,1.889265,1.13753075,3.5200705
"Ruddy Turnstone",2013,1.877205,1.12086575,3.48602975
"Ruddy Turnstone",2014,1.747525,1.03976975,3.36244125
"Ruddy Turnstone",2015,1.716685,1.023018,3.238349
"Ruddy Turnstone",2016,2.13699,1.25371675,4.0690255
"Ruddy Turnstone",2017,1.60105,0.94076225,3.069681
"Ruddy Turnstone",2018,1.59681,0.88286395,3.17506425
"Ruddy Turnstone",2019,2.318625,1.2570865,4.750942
"Red Knot",1980,117.542,39.5537625,477.072975
"Red Knot",1981,93.83205,33.5141625,382.981475
"Red Knot",1982,71.9062,25.0475125,301.039725
"Red Knot",1983,66.9087,22.873965,287.025625
"Red Knot",1984,123.116,42.38813,497.5001
"Red Knot",1985,85.28345,30.61174,347.03145
"Red Knot",1986,61.965,22.49488,253.36305
"Red Knot",1987,45.37795,16.2589625,193.16635
"Red Knot",1988,51.8407,18.6017525,205.525525
"Red Knot",1989,56.4267,20.104295,231.293725
"Red Knot",1990,40.97115,14.71566,169.542025
"Red Knot",1991,53.9866,19.4919225,207.357725
"Red Knot",1992,63.3791,22.30267,251.189825
"Red Knot",1993,66.3571,23.89334,261.560775
"Red Knot",1994,60.55665,21.6266475,238.5857
"Red Knot",1995,54.09505,19.8585975,227.5421
"Red Knot",1996,38.21385,13.4206,150.9182
"Red Knot",1997,42.9699,14.8991525,163.132475
"Red Knot",1998,43.57325,15.0827925,173.7781
"Red Knot",1999,48.77985,17.08397,192.95285
"Red Knot",2000,62.2245,21.68222,245.608875
"Red Knot",2001,97.9473,35.9037275,381.9261
"Red Knot",2002,38.94615,13.5070775,155.78595
"Red Knot",2003,60.15055,20.235005,245.1582
"Red Knot",2004,49.7952,18.0049375,197.6052
"Red Knot",2005,22.4788,7.881631,90.80862
"Red Knot",2006,21.21975,7.35148375,90.796195
"Red Knot",2007,20.97275,7.14677225,79.9819150000001
"Red Knot",2008,20.30255,7.0665505,80.5965475
"Red Knot",2009,16.8737,5.757808,68.5620625
"Red Knot",2010,12.0905,4.07612425,49.2425475
"Red Knot",2011,24.18545,8.282917,97.6094025000001
"Red Knot",2012,14.45185,4.9177165,56.3644100000001
"Red Knot",2013,13.0483,4.32303825,52.2220325
"Red Knot",2014,10.5298,3.500917,41.5649525
"Red Knot",2015,5.613775,1.8802635,22.5215
"Red Knot",2016,5.90097,1.9414295,22.7441475
"Red Knot",2017,5.023485,1.68501,21.43072
"Red Knot",2018,5.152465,1.68824875,21.0432375
"Red Knot",2019,3.644315,1.119349,15.249455
"Stilt Sandpiper",1980,4.4586,1.54469025,20.4733525
"Stilt Sandpiper",1981,4.987225,1.70180525,22.1434175
"Stilt Sandpiper",1982,3.6776,1.269429,16.1749575
"Stilt Sandpiper",1983,3.869455,1.2921735,16.962255
"Stilt Sandpiper",1984,4.170435,1.44629975,18.7592875
"Stilt Sandpiper",1985,3.873695,1.3764265,17.0133275
"Stilt Sandpiper",1986,1.99207,0.68146165,8.86158575
"Stilt Sandpiper",1987,2.57898,0.869158775,11.0399475
"Stilt Sandpiper",1988,3.339155,1.036752,14.0660625
"Stilt Sandpiper",1989,1.68958,0.56811685,7.240746
"Stilt Sandpiper",1990,2.6836,0.944754175,11.2713825
"Stilt Sandpiper",1991,2.157055,0.74103845,9.43431425
"Stilt Sandpiper",1992,1.064795,0.374001775,4.7872485
"Stilt Sandpiper",1993,3.271125,1.0789795,14.6546575
"Stilt Sandpiper",1994,2.863135,0.976277175,12.1228425
"Stilt Sandpiper",1995,0.9876955,0.320303475,4.49112
"Stilt Sandpiper",1996,1.82698,0.59088875,8.18678275
"Stilt Sandpiper",1997,2.82202,0.936262375,11.820455
"Stilt Sandpiper",1998,2.080045,0.7067922,9.193943
"Stilt Sandpiper",1999,2.836865,0.954623225,11.9260025
"Stilt Sandpiper",2000,2.0132,0.6780219,9.00018425
"Stilt Sandpiper",2001,2.623965,0.91206915,11.1043425
"Stilt Sandpiper",2002,1.520395,0.500774725,6.5894955
"Stilt Sandpiper",2003,2.457555,0.822198325,11.2593825
"Stilt Sandpiper",2004,0.7791615,0.240987675,3.544605
"Stilt Sandpiper",2005,1.060195,0.3429539,4.58284825
"Stilt Sandpiper",2006,1.115115,0.350731525,5.04982675
"Stilt Sandpiper",2007,1.602115,0.531049425,7.07916525
"Stilt Sandpiper",2008,0.7916785,0.259455675,3.546855
"Stilt Sandpiper",2009,0.609772,0.195426225,2.79452
"Stilt Sandpiper",2010,0.9875635,0.317223175,4.576205
"Stilt Sandpiper",2011,0.757025,0.2321478,3.51095375
"Stilt Sandpiper",2012,1.6535,0.488159525,7.90330425
"Stilt Sandpiper",2013,0.77716,0.2333655,3.57496325
"Stilt Sandpiper",2014,0.446211,0.131896625,2.08865275
"Stilt Sandpiper",2015,1.19754,0.350404,5.503862
"Stilt Sandpiper",2016,0.6694415,0.19899475,3.10494725
