"","YearCollected","SurveyAreaIdentifier","sum_all_sp","n_visits"
"156",1976,"L295799",142,22
"157",1976,"L296392",4515,20
"158",1976,"L343754",20597,3
"159",1976,"L367754",98,16
"160",1976,"L386755",275,12
"161",1976,"L458652",8,5
"162",1976,"L465571",1103,11
"163",1976,"L466299",1938,13
"164",1976,"L470057",0,2
"165",1976,"L470575",11899,10
"166",1976,"L470582",16,6
"167",1976,"L471766",4382,22
"168",1976,"L471800",10952,14
"169",1976,"L474611",2822,74
"170",1976,"L474671",17555,7
"171",1976,"L475094",7860,5
"172",1976,"L475097",389,6
"173",1976,"L478509",1132,17
"174",1976,"L480827",4884,20
"175",1976,"L483824",253,5
"176",1976,"L484987",465,6
"177",1976,"L493551",655,11
"178",1976,"L512561",345,12
"179",1976,"L593571",0,1
"180",1976,"L593586",714,11
"181",1976,"L608335",9,3
"182",1976,"L616646",34,6
"183",1976,"L674606",108,2
"184",1976,"L674658",7746,6
"185",1976,"L718378",20637,11
"186",1976,"L815117",1895,22
"187",1976,"L92448",59646,19
"188",1976,"L928645",107,1
"189",1976,"L936733",7461,8
"190",1977,"L109121",1820,13
"191",1977,"L109216",9421,14
"192",1977,"L109233",5985,12
"193",1977,"L109289",11978,10
"194",1977,"L1095884",1805,10
"195",1977,"L11349197",2486,14
"196",1977,"L124353",3682,17
"197",1977,"L125099",133688,12
"198",1977,"L1259115",539,6
"199",1977,"L1259122",151,2
"200",1977,"L1259399",704,8
"201",1977,"L126627",658,20
"202",1977,"L1270352",3065,7
"203",1977,"L1270580",87,5
"204",1977,"L127263",227,5
"205",1977,"L127286",2198,7
"206",1977,"L127294",233,3
"207",1977,"L127308",143,8
"208",1977,"L127335",525,7
"209",1977,"L127347",2946,11
"210",1977,"L1273644",336,8
"211",1977,"L127370",119,5
"212",1977,"L1286094",343,1
"213",1977,"L129037",130644,28
"214",1977,"L129046",7244,7
"215",1977,"L129756",1205,31
"216",1977,"L129761",3,2
"217",1977,"L132076",112,15
"218",1977,"L139794",1799,50
"219",1977,"L140437",1886,51
"220",1977,"L159619",34905,20
"221",1977,"L165592",1277,2
"222",1977,"L165940",4473,10
"223",1977,"L166462",1958,23
"224",1977,"L167247",291,10
"225",1977,"L167326",3327,7
"226",1977,"L169663",2544,80
"227",1977,"L191995",127,10
"228",1977,"L213003",203,10
"229",1977,"L215343",898,11
"230",1977,"L219714",652,17
"231",1977,"L251651",9389,18
"232",1977,"L256061",1060,91
"233",1977,"L2602995",4030,11
"234",1977,"L269491",81420,48
"235",1977,"L269708",4748,7
"236",1977,"L275331",58,19
"237",1977,"L279820",1193,11
"238",1977,"L295119",719,8
"239",1977,"L296392",2373,18
"240",1977,"L334172",125,4
"241",1977,"L343754",28921,8
"242",1977,"L364884",1964,6
"243",1977,"L386755",79,5
"244",1977,"L444485",1922,14
"245",1977,"L452069",1748,14
"246",1977,"L455497",412,4
"247",1977,"L455595",86,13
"248",1977,"L457821",803,6
"249",1977,"L458652",1,6
"250",1977,"L4595892",196,3
"251",1977,"L462594",451,20
"252",1977,"L465571",378,8
"253",1977,"L465624",45,15
"254",1977,"L466299",2661,19
"255",1977,"L467216",796,13
"256",1977,"L469818",63,9
"257",1977,"L470032",1467,12
"258",1977,"L470575",5297,10
"259",1977,"L470582",187,7
"260",1977,"L471800",3102,5
"261",1977,"L473471",1686,12
"262",1977,"L474611",4028,96
"263",1977,"L474646",1994,21
"264",1977,"L474671",25925,13
"265",1977,"L474785",1274,11
"266",1977,"L475097",371,9
"267",1977,"L478509",325,6
"268",1977,"L479571",1959,11
"269",1977,"L480827",6043,20
"270",1977,"L480868",2019,32
"271",1977,"L480914",2940,11
"272",1977,"L481109",3242,8
"273",1977,"L481665",685,3
"274",1977,"L483011",3212,17
"275",1977,"L483824",322,9
"276",1977,"L484987",681,5
"277",1977,"L485417",2554,15
"278",1977,"L487717",9489,15
"279",1977,"L504403",174,1
"280",1977,"L510033",321,8
"281",1977,"L510074",17768,12
"282",1977,"L510081",9,10
"283",1977,"L510858",400,14
"284",1977,"L512561",394,6
"285",1977,"L512586",892,21
"286",1977,"L516824",246,12
"287",1977,"L517070",1240,12
"288",1977,"L517075",251,6
"289",1977,"L519155",2700,10
"290",1977,"L520033",445,15
"291",1977,"L520045",793,15
"292",1977,"L522132",163,12
"293",1977,"L552672",62,12
"294",1977,"L571615",537,8
"295",1977,"L591883",119,1
"296",1977,"L593576",5154,12
"297",1977,"L608335",90,5
"298",1977,"L616731",133,3
"299",1977,"L634182",5817,4
"300",1977,"L636725",78,2
"301",1977,"L659914",1439,1
"302",1977,"L674609",364,12
"303",1977,"L674611",49,2
"304",1977,"L693440",315,5
"305",1977,"L696154",99,5
"306",1977,"L718378",31432,14
"307",1977,"L731149",1956,29
"308",1977,"L775724",1835,37
"309",1977,"L815117",106,24
"310",1977,"L92448",21651,18
"311",1977,"L928645",1710,1
"312",1978,"L109121",737,10
"313",1978,"L109216",805,11
"314",1978,"L109233",7562,17
"315",1978,"L109538",151640,33
"316",1978,"L1095884",4137,10
"317",1978,"L125099",733597,18
"318",1978,"L1259122",1152,8
"319",1978,"L1259399",190,4
"320",1978,"L127263",1219,12
"321",1978,"L127286",3134,6
"322",1978,"L127308",106,10
"323",1978,"L1273677",6,5
"324",1978,"L1273690",58,1
"325",1978,"L127370",172,5
"326",1978,"L127445",249,10
"327",1978,"L127945",425,10
"328",1978,"L128874",38,1
"329",1978,"L129037",56563,16
"330",1978,"L129046",11201,18
"331",1978,"L129756",1462,33
"332",1978,"L132076",110,15
"333",1978,"L132813",87,5
"334",1978,"L140043",739,8
"335",1978,"L140467",385,14
"336",1978,"L159297",3791,11
"337",1978,"L165143",9009,5
"338",1978,"L166161",23,4
"339",1978,"L166462",2097,32
"340",1978,"L167247",2455,10
"341",1978,"L167326",509,2
"342",1978,"L169663",68,16
"343",1978,"L191995",169,13
"344",1978,"L192298",496,3
"345",1978,"L207348",1648,11
"346",1978,"L215343",1373,16
"347",1978,"L251651",2333,14
"348",1978,"L2602995",1840,10
"349",1978,"L267998",2940,10
"350",1978,"L269491",35512,24
"351",1978,"L269708",30841,13
"352",1978,"L271501",3016,40
"353",1978,"L275422",130,6
"354",1978,"L275517",185,2
"355",1978,"L279820",872,17
"356",1978,"L288417",112,13
"357",1978,"L296392",1134,16
"358",1978,"L323523",256,8
"359",1978,"L334172",217,12
"360",1978,"L343754",99203,10
"361",1978,"L349193",121,13
"362",1978,"L364884",2181,10
"363",1978,"L384788",36,9
"364",1978,"L386755",379,14
"365",1978,"L444485",3397,11
"366",1978,"L444898",439,12
"367",1978,"L450156",2589,6
"368",1978,"L450926",12148,20
"369",1978,"L450938",312,4
"370",1978,"L452069",2194,14
"371",1978,"L453702",1859,5
"372",1978,"L454182",117,3
"373",1978,"L455497",28,9
"374",1978,"L455581",233,15
"375",1978,"L455593",193,13
"376",1978,"L457821",560,5
"377",1978,"L465571",719,12
"378",1978,"L465614",18950,26
"379",1978,"L465624",54,32
"380",1978,"L465628",220,1
"381",1978,"L466299",524,11
"382",1978,"L467216",9074,26
"383",1978,"L467219",351,7
"384",1978,"L470036",427,8
"385",1978,"L470575",8878,14
"386",1978,"L470582",245,7
"387",1978,"L473275",1205,36
"388",1978,"L473471",1560,14
"389",1978,"L474611",2065,116
"390",1978,"L474646",3636,23
"391",1978,"L474671",21626,9
"392",1978,"L474785",2078,14
"393",1978,"L475071",430,11
"394",1978,"L475094",1,1
"395",1978,"L475097",999,11
"396",1978,"L478509",273,6
"397",1978,"L480823",844,29
"398",1978,"L480827",5233,17
"399",1978,"L480914",3407,15
"400",1978,"L481109",1041,5
"401",1978,"L483011",163,5
"402",1978,"L483824",276,9
"403",1978,"L485417",1006,11
"404",1978,"L493574",802,18
"405",1978,"L498387",204,14
"406",1978,"L500674",172,5
"407",1978,"L504403",1142,1
"408",1978,"L507212",323,4
"409",1978,"L507440",201,17
"410",1978,"L510033",573,8
"411",1978,"L510858",10,2
"412",1978,"L512607",586,19
"413",1978,"L516824",489,6
"414",1978,"L517075",408,10
"415",1978,"L519155",291,12
"416",1978,"L519229",313,14
"417",1978,"L552698",601,9
"418",1978,"L567885",2739,7
"419",1978,"L571615",776,12
"420",1978,"L586222",155,7
"421",1978,"L601002",417,21
"422",1978,"L604470",1255,12
"423",1978,"L608335",62,1
"424",1978,"L619754",123,7
"425",1978,"L619761",1625,9
"426",1978,"L619792",26,6
"427",1978,"L654743",29,1
"428",1978,"L674606",167,5
"429",1978,"L674968",127,7
"430",1978,"L693440",4799,22
"431",1978,"L713652",3990,2
"432",1978,"L718378",56712,13
"433",1978,"L718701",3538,38
"434",1978,"L731149",1934,13
"435",1978,"L815117",2891,50
"436",1978,"L92448",49739,31
"437",1978,"L928645",108,1
"438",1978,"L936733",300,1
"439",1979,"L1018715",770,4
"440",1979,"L109201",1477,11
"441",1979,"L1095884",3282,20
"442",1979,"L122943",1741,10
"443",1979,"L124353",8814,14
"444",1979,"L124370",390,2
"445",1979,"L125099",881884,23
"446",1979,"L1270407",355,5
"447",1979,"L1270632",376,2
"448",1979,"L127249",252,10
"449",1979,"L127263",132,3
"450",1979,"L127286",3233,10
"451",1979,"L127335",1714,10
"452",1979,"L127370",118,4
"453",1979,"L127445",162,8
"454",1979,"L127945",606,8
"455",1979,"L129037",7311,3
"456",1979,"L129046",9043,10
"457",1979,"L132076",125,15
"458",1979,"L1337482",295,6
"459",1979,"L140043",668,8
"460",1979,"L140462",1320,20
"461",1979,"L140467",336,11
"462",1979,"L159297",2006,7
"463",1979,"L159619",2105,20
"464",1979,"L165143",875,1
"465",1979,"L166161",209,12
"466",1979,"L166462",1209,20
"467",1979,"L167247",6169,13
"468",1979,"L167326",3102,30
"469",1979,"L169663",157,14
"470",1979,"L191995",40,9
"471",1979,"L207348",2634,11
"472",1979,"L207383",23,1
"473",1979,"L213003",94,9
"474",1979,"L215343",1121,16
"475",1979,"L248058",715,9
"476",1979,"L253368",212,5
"477",1979,"L2602995",3822,7
"478",1979,"L265647",84,1
"479",1979,"L267398",435,3
"480",1979,"L269484",134,1
"481",1979,"L269491",21680,19
"482",1979,"L269708",18213,18
"483",1979,"L271501",781,12
"484",1979,"L274946",2501,19
"485",1979,"L275331",252,26
"486",1979,"L275517",1256,2
"487",1979,"L275553",88,14
"488",1979,"L276107",57,1
"489",1979,"L279820",2769,41
"490",1979,"L288417",1879,17
"491",1979,"L295119",512,9
"492",1979,"L296392",2553,18
"493",1979,"L323523",190,5
"494",1979,"L343754",70371,18
"495",1979,"L349193",32,3
"496",1979,"L353732",86,4
"497",1979,"L358792",47,2
"498",1979,"L444485",2064,14
"499",1979,"L444898",87,6
"500",1979,"L450938",252,5
"501",1979,"L453702",2766,8
"502",1979,"L454182",603,6
"503",1979,"L455497",17,3
"504",1979,"L455616",35,9
"505",1979,"L456195",14,6
"506",1979,"L456606",26,1
"507",1979,"L456729",4,1
"508",1979,"L457821",911,4
"509",1979,"L464527",588,11
"510",1979,"L465624",7,12
"511",1979,"L466299",166,5
"512",1979,"L467216",7879,17
"513",1979,"L467217",143,14
"514",1979,"L467219",307,8
"515",1979,"L467220",607,11
"516",1979,"L467223",682,13
"517",1979,"L467253",655,22
"518",1979,"L469150",252,10
"519",1979,"L469818",88,9
"520",1979,"L470036",412,6
"521",1979,"L470057",140,1
"522",1979,"L470575",6193,13
"523",1979,"L470582",126,5
"524",1979,"L473275",265,12
"525",1979,"L473283",2224,20
"526",1979,"L473471",4277,15
"527",1979,"L474611",3016,79
"528",1979,"L474646",16211,97
"529",1979,"L474671",20396,13
"530",1979,"L474785",0,1
"531",1979,"L474791",1145,9
"532",1979,"L474885",2850,60
"533",1979,"L479571",2136,12
"534",1979,"L480823",430,15
"535",1979,"L480827",4821,18
"536",1979,"L480914",4182,12
"537",1979,"L481080",849,8
"538",1979,"L483031",4420,12
"539",1979,"L483824",285,9
"540",1979,"L483831",267,9
"541",1979,"L484987",413,4
"542",1979,"L493481",2794,11
"543",1979,"L493522",27232,11
"544",1979,"L502926",30,3
"545",1979,"L504403",1572,6
"546",1979,"L507465",995,8
"547",1979,"L510848",175,22
"548",1979,"L512600",87,5
"549",1979,"L512606",4375,20
"550",1979,"L512611",4304,18
"551",1979,"L517075",73,2
"552",1979,"L521800",54,2
"553",1979,"L552710",5902,8
"554",1979,"L552745",64,5
"555",1979,"L552752",33,5
"556",1979,"L601002",1386,37
"557",1979,"L612903",168,1
"558",1979,"L616673",492,1
"559",1979,"L616678",16,1
"560",1979,"L616741",223,6
"561",1979,"L617208",108,3
"562",1979,"L634210",2274,4
"563",1979,"L634213",174,4
"564",1979,"L654693",51,2
"565",1979,"L654762",164,3
"566",1979,"L659870",200,1
"567",1979,"L674654",106,1
"568",1979,"L674694",13,3
"569",1979,"L713652",4269,3
"570",1979,"L815117",4913,58
"571",1979,"L92448",17843,17
"572",1979,"L928645",111,3
"573",1980,"L1095884",7742,20
"574",1980,"L122943",3106,17
"575",1980,"L125099",442322,24
"576",1980,"L125100",2101,3
"577",1980,"L1270322",5,1
"578",1980,"L127286",5639,9
"579",1980,"L127335",152,1
"580",1980,"L1273695",455,9
"581",1980,"L127445",114,2
"582",1980,"L127945",435,3
"583",1980,"L129046",24027,10
"584",1980,"L129756",804,26
"585",1980,"L132064",250,5
"586",1980,"L140043",1124,16
"587",1980,"L140447",5,1
"588",1980,"L140462",8,2
"589",1980,"L141405",1553,25
"590",1980,"L149830",1287,25
"591",1980,"L159297",7834,6
"592",1980,"L159619",1360,20
"593",1980,"L166161",102,8
"594",1980,"L167247",976,5
"595",1980,"L167326",1939,10
"596",1980,"L191995",228,12
"597",1980,"L197073",239,1
"598",1980,"L207181",221,2
"599",1980,"L207348",633,2
"600",1980,"L210370",35,1
"601",1980,"L211851",534,6
"602",1980,"L215343",410,4
"603",1980,"L246782",149,4
"604",1980,"L252621",84,1
"605",1980,"L2602995",2191,7
"606",1980,"L269491",76503,39
"607",1980,"L269708",28700,14
"608",1980,"L271501",440,11
"609",1980,"L274946",4443,14
"610",1980,"L275331",15,3
"611",1980,"L275517",2589,10
"612",1980,"L276107",61,2
"613",1980,"L279820",1622,26
"614",1980,"L281327",325,5
"615",1980,"L281493",162,9
"616",1980,"L286699",861,25
"617",1980,"L286813",745,8
"618",1980,"L296392",21,2
"619",1980,"L3032458",1030,2
"620",1980,"L323523",188,2
"621",1980,"L334172",681,12
"622",1980,"L343754",46650,19
"623",1980,"L357216",0,2
"624",1980,"L364884",8758,15
"625",1980,"L389933",444,2
"626",1980,"L444485",1288,10
"627",1980,"L450938",3525,14
"628",1980,"L452069",18,1
"629",1980,"L452401",0,1
"630",1980,"L452460",1166,5
"631",1980,"L454074",584,1
"632",1980,"L454182",9361,2
"633",1980,"L455560",896,11
"634",1980,"L455598",26,3
"635",1980,"L455629",46,3
"636",1980,"L457821",499,4
"637",1980,"L465571",2124,35
"638",1980,"L465609",8,7
"639",1980,"L465614",8523,12
"640",1980,"L466582",0,1
"641",1980,"L467216",6313,20
"642",1980,"L467217",394,16
"643",1980,"L467219",531,9
"644",1980,"L467220",1316,17
"645",1980,"L467223",366,10
"646",1980,"L467228",6,3
"647",1980,"L467252",1586,27
"648",1980,"L467253",424,8
"649",1980,"L469818",195,11
"650",1980,"L470032",49,3
"651",1980,"L470575",4770,6
"652",1980,"L470582",102,3
"653",1980,"L472167",143,13
"654",1980,"L473283",4209,16
"655",1980,"L473462",473,14
"656",1980,"L473471",3774,15
"657",1980,"L474611",1801,39
"658",1980,"L474646",33505,95
"659",1980,"L474650",101,10
"660",1980,"L474652",553,26
"661",1980,"L474671",10239,5
"662",1980,"L474791",1391,14
"663",1980,"L475097",421,4
"664",1980,"L475105",2967,2
"665",1980,"L479586",162,5
"666",1980,"L480823",467,14
"667",1980,"L480827",3516,10
"668",1980,"L480914",192,3
"669",1980,"L481080",62,3
"670",1980,"L481109",610,1
"671",1980,"L481668",35,2
"672",1980,"L483824",77,6
"673",1980,"L484987",140,1
"674",1980,"L487664",88,1
"675",1980,"L493481",644,6
"676",1980,"L493522",6923,5
"677",1980,"L500668",1249,6
"678",1980,"L501694",8,1
"679",1980,"L504403",4459,3
"680",1980,"L504953",3539,14
"681",1980,"L507465",815,8
"682",1980,"L510081",3,1
"683",1980,"L517070",2318,6
"684",1980,"L517085",274,7
"685",1980,"L552691",81,10
"686",1980,"L552725",107,2
"687",1980,"L586160",428,10
"688",1980,"L591879",839,19
"689",1980,"L593571",678,7
"690",1980,"L601002",960,23
"691",1980,"L610787",65,6
"692",1980,"L616649",89,3
"693",1980,"L636715",3823,2
"694",1980,"L654703",11,1
"695",1980,"L654736",87,1
"696",1980,"L654747",54,1
"697",1980,"L654805",3,1
"698",1980,"L654813",39,1
"699",1980,"L654817",2,1
"700",1980,"L659890",148,1
"701",1980,"L663286",7494,5
"702",1980,"L674654",127,2
"703",1980,"L677813",636,3
"704",1980,"L687226",16,1
"705",1980,"L687572",1832,9
"706",1980,"L718378",42560,12
"707",1980,"L815117",8044,44
"708",1980,"L92448",29719,15
"709",1980,"L928645",408,1
"710",1981,"L122943",32131,147
"711",1981,"L125099",353262,20
"712",1981,"L125100",2645,4
"713",1981,"L126170",27,1
"714",1981,"L1272187",640,1
"715",1981,"L127249",317,2
"716",1981,"L127263",9,1
"717",1981,"L127370",42,2
"718",1981,"L127445",21,1
"719",1981,"L129037",4939,2
"720",1981,"L129046",9711,6
"721",1981,"L129061",240,1
"722",1981,"L129756",2102,37
"723",1981,"L140043",643,10
"724",1981,"L141405",1714,29
"725",1981,"L149830",374,10
"726",1981,"L159297",925,6
"727",1981,"L159619",536,20
"728",1981,"L165143",38335,33
"729",1981,"L166161",540,26
"730",1981,"L166462",2229,21
"731",1981,"L167247",361,2
"732",1981,"L167326",581,4
"733",1981,"L207383",935,18
"734",1981,"L2108504",160,1
"735",1981,"L211851",125,3
"736",1981,"L215343",602,13
"737",1981,"L224783",76,2
"738",1981,"L253508",68,3
"739",1981,"L2602995",2372,8
"740",1981,"L269491",16302,10
"741",1981,"L269708",30564,13
"742",1981,"L275517",31,1
"743",1981,"L275553",92,10
"744",1981,"L279820",1968,37
"745",1981,"L281493",262,27
"746",1981,"L286813",2056,4
"747",1981,"L288417",982,11
"748",1981,"L296392",5748,19
"749",1981,"L3032458",1301,4
"750",1981,"L334172",72,3
"751",1981,"L343754",37451,15
"752",1981,"L355076",1264,15
"753",1981,"L444485",961,8
"754",1981,"L450938",3615,8
"755",1981,"L455630",17,8
"756",1981,"L455633",6,8
"757",1981,"L456235",676,1
"758",1981,"L456272",4,2
"759",1981,"L465571",348,13
"760",1981,"L465609",24,15
"761",1981,"L465614",7769,15
"762",1981,"L465628",2,3
"763",1981,"L467216",7489,20
"764",1981,"L467217",799,22
"765",1981,"L467219",7,4
"766",1981,"L467220",1354,7
"767",1981,"L467228",817,16
"768",1981,"L467252",781,9
"769",1981,"L467253",1189,22
"770",1981,"L470575",7386,15
"771",1981,"L473462",947,17
"772",1981,"L473471",1460,12
"773",1981,"L474646",11574,74
"774",1981,"L474650",763,18
"775",1981,"L474652",78,10
"776",1981,"L474671",5418,4
"777",1981,"L474791",340,6
"778",1981,"L480823",928,22
"779",1981,"L480827",3833,11
"780",1981,"L480914",6874,14
"781",1981,"L481082",1034,21
"782",1981,"L483824",36,6
"783",1981,"L483826",2077,11
"784",1981,"L484987",85,1
"785",1981,"L485423",40,7
"786",1981,"L500633",45,9
"787",1981,"L504403",47886,15
"788",1981,"L512600",119,12
"789",1981,"L517085",4,2
"790",1981,"L591883",370,2
"791",1981,"L593582",2741,11
"792",1981,"L616649",459,8
"793",1981,"L718378",55043,16
"794",1981,"L815117",5557,37
"795",1981,"L92448",31242,23
"796",1981,"L928645",9,1
"797",1982,"L122943",22293,114
"798",1982,"L125099",623329,19
"799",1982,"L126622",484,25
"800",1982,"L126637",133,12
"801",1982,"L126638",5988,12
"802",1982,"L127263",36,1
"803",1982,"L127308",255,7
"804",1982,"L127445",187,5
"805",1982,"L127945",846,11
"806",1982,"L129046",5801,5
"807",1982,"L129061",377,4
"808",1982,"L129756",910,29
"809",1982,"L140043",138,4
"810",1982,"L140462",1168,20
"811",1982,"L141405",3555,44
"812",1982,"L149830",310,13
"813",1982,"L159297",2650,2
"814",1982,"L159619",4658,20
"815",1982,"L165143",51256,33
"816",1982,"L166161",446,25
"817",1982,"L166462",2758,24
"818",1982,"L167247",91,2
"819",1982,"L191995",1,1
"820",1982,"L207348",1812,10
"821",1982,"L207381",395,26
"822",1982,"L207383",1780,14
"823",1982,"L211851",446,8
"824",1982,"L215343",866,10
"825",1982,"L248017",2421,6
"826",1982,"L253508",148,11
"827",1982,"L267398",1306,3
"828",1982,"L267805",10742,28
"829",1982,"L269491",47189,49
"830",1982,"L269708",13846,9
"831",1982,"L276523",5603,28
"832",1982,"L279820",1411,30
"833",1982,"L281493",237,14
"834",1982,"L286813",3820,17
"835",1982,"L296392",5790,41
"836",1982,"L3032458",8757,12
"837",1982,"L323523",669,8
"838",1982,"L334172",266,7
"839",1982,"L334192",1583,42
"840",1982,"L343754",52218,17
"841",1982,"L355076",1844,20
"842",1982,"L367754",106,26
"843",1982,"L372956",4318,15
"844",1982,"L383970",1642,9
"845",1982,"L444485",1676,11
"846",1982,"L454182",401,2
"847",1982,"L455541",1900,11
"848",1982,"L455598",17,3
"849",1982,"L455600",11,2
"850",1982,"L456274",393,1
"851",1982,"L465571",1138,34
"852",1982,"L465609",39,13
"853",1982,"L465614",7016,15
"854",1982,"L465628",14,6
"855",1982,"L466299",400,2
"856",1982,"L467216",10057,22
"857",1982,"L467217",219,12
"858",1982,"L467219",1826,19
"859",1982,"L467220",1628,22
"860",1982,"L467223",35,1
"861",1982,"L467228",555,10
"862",1982,"L467252",1119,17
"863",1982,"L467253",1221,19
"864",1982,"L467258",233,3
"865",1982,"L470575",6430,12
"866",1982,"L473462",882,24
"867",1982,"L473471",2955,19
"868",1982,"L474611",9,3
"869",1982,"L474650",566,19
"870",1982,"L474652",190,13
"871",1982,"L474671",9743,7
"872",1982,"L474791",196,6
"873",1982,"L478471",2280,14
"874",1982,"L479586",253,7
"875",1982,"L480814",171,15
"876",1982,"L480823",853,19
"877",1982,"L480827",3946,11
"878",1982,"L480914",3917,11
"879",1982,"L483343",1579,10
"880",1982,"L484987",126,1
"881",1982,"L485423",123,18
"882",1982,"L485455",1444,11
"883",1982,"L502816",34,2
"884",1982,"L504403",33375,17
"885",1982,"L510880",18554,12
"886",1982,"L512583",1417,37
"887",1982,"L522100",133,15
"888",1982,"L591883",182,2
"889",1982,"L601002",531,17
"890",1982,"L608335",213,3
"891",1982,"L612903",45,1
"892",1982,"L654773",5,2
"893",1982,"L663253",1779,12
"894",1982,"L677813",361,2
"895",1982,"L687228",278,5
"896",1982,"L718378",51923,19
"897",1982,"L815117",6716,38
"898",1982,"L92448",11708,16
"899",1983,"L122943",6818,81
